epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
42,44.5635,0.77991,1.04503,0.93157,1,0.13246,0.64404,0.48574,0.79976,2.71443,0.94442,0.000498523,0.000498523,0.000498523
43,45.7207,0.71603,0.99818,0.94543,0.90398,0.11111,0.6524,0.50617,0.86708,2.71956,0.96449,0.000506061,0.000506061,0.000506061
44,46.7676,0.6375,1.1227,0.96935,0.90398,0.11111,0.6524,0.50617,0.86708,2.71956,0.96449,0.000513379,0.000513379,0.000513379
45,47.8448,0.7831,1.35022,0.96653,0.90453,0.11111,0.67339,0.52574,0.98,2.71731,0.98466,0.000520477,0.000520477,0.000520477
46,48.8917,0.71752,1.27349,0.94227,0.90453,0.11111,0.67339,0.52574,0.98,2.71731,0.98466,0.000527355,0.000527355,0.000527355
47,49.9849,0.84661,1.09928,0.89356,0.92918,0.11111,0.71081,0.56328,1.05246,2.74944,1.00101,0.000534013,0.000534013,0.000534013
48,51.033,0.78212,1.37355,0.942,0.92918,0.11111,0.71081,0.56328,1.05246,2.74944,1.00101,0.000540451,0.000540451,0.000540451
49,52.1104,0.80827,1.13833,1.03295,0.91317,0.11111,0.70866,0.56973,1.00721,2.73478,0.9983,0.000546669,0.000546669,0.000546669
50,53.1421,0.7287,1.13602,1.01353,0.91317,0.11111,0.70866,0.56973,1.00721,2.73478,0.9983,0.000552667,0.000552667,0.000552667
51,54.2191,0.69475,1.023,0.91541,0.83477,0.29458,0.75058,0.60607,0.93321,2.6976,0.99103,0.000558445,0.000558445,0.000558445
52,55.2515,0.74507,1.07218,0.9508,0.83477,0.29458,0.75058,0.60607,0.93321,2.6976,0.99103,0.000564003,0.000564003,0.000564003
53,56.3046,0.70148,1.04607,0.91229,0.83477,0.29458,0.75058,0.60607,0.93321,2.6976,0.99103,0.000569341,0.000569341,0.000569341
54,57.3767,0.90036,1.09788,0.96056,1,0.15185,0.81391,0.6628,0.81371,2.61543,0.98188,0.000574458,0.000574458,0.000574458
55,58.4243,0.72347,1.13671,0.96763,1,0.15185,0.81391,0.6628,0.81371,2.61543,0.98188,0.000579356,0.000579356,0.000579356
56,59.4703,0.6928,0.95036,0.94677,1,0.15185,0.81391,0.6628,0.81371,2.61543,0.98188,0.000584033,0.000584033,0.000584033
57,60.5646,0.90292,1.01804,0.96758,1,0.10307,0.9229,0.7393,0.76865,2.55605,0.97598,0.000588491,0.000588491,0.000588491
58,61.6118,0.87041,1.15739,0.88655,1,0.10307,0.9229,0.7393,0.76865,2.55605,0.97598,0.000592729,0.000592729,0.000592729
59,62.628,0.66765,1.16425,0.95529,1,0.10307,0.9229,0.7393,0.76865,2.55605,0.97598,0.000596746,0.000596746,0.000596746
60,63.715,0.64676,1.33386,0.98478,1,0.12097,0.94143,0.75922,0.74038,2.4765,0.98519,0.000600543,0.000600543,0.000600543
